,Run Id,Workflow,Bulk?,Chip A ROI Channel Width (um),Chip A Designation,Flow A Leak,Flow A blocks,Chip B ROI Channel Width (um),Chip B Designation,Flow B leak,Flow B Blocks
74,D00972,ATAC-seq,,25.0,Production,,,25.0,Production,,
75,D00971,ATAC-seq,,25.0,Production,,,25.0,Production,,
76,D00970,ATAC-seq,,25.0,Production,,,25.0,Production,,
77,D00969,ATAC-seq,,,,,,,,,
78,D00968,ATAC-seq,,,,,,,,,
79,D00967,ATAC-seq,,25.0,Production,,,25.0,Production,,
80,D00966,ATAC-seq,,25.0,Production,,,25.0,Production,,
81,D00965,ATAC-seq,,,,,,,,,
82,D00964,ATAC-seq,,,,,,,,,
83,D00963,ATAC-seq,,25.0,Production,,,25.0,Production,,26
84,D00962,ATAC-seq,,25.0,Production,,,25.0,Production,,
85,D00961,ATAC-seq,,25.0,Production,,,25.0,Production,True,
86,D00960,ATAC-seq,,25.0,Production,,,25.0,Production,,
87,D00959,ATAC-seq,,25.0,Production,,,25.0,Production,,10
88,D00958,ATAC-seq,,25.0,Production,,21,25.0,Production,,
92,D00954,ATAC-seq,,25.0,Production,,,25.0,Production,,
93,D00953,ATAC-seq,,25.0,Production,,,25.0,Production,,
94,D00952,ATAC-seq,,25.0,Customer Kit,,,25.0,Production,,
95,D00951,ATAC-seq,,25.0,Production,,,25.0,Production,,
96,D00950,ATAC-seq,,25.0,Production,,,25.0,Production,,
97,D00949,ATAC-seq,,25.0,Production,,,25.0,Production,,
98,D00948,ATAC-seq,,25.0,Production,True,49,25.0,Production,,
99,D00947,ATAC-seq,,10.0,Production,,,10.0,Production,,
100,D00946,ATAC-seq,,10.0,Production,,,10.0,Production,,
101,D00945,ATAC-seq,,25.0,Production,,,25.0,Production,,
102,D00944,ATAC-seq,,25.0,Production,,,25.0,Production,,
103,D00943,ATAC-seq,,,,,,,,,
104,D00942,ATAC-seq,,,,,,,,,
105,D00941,ATAC-seq,,,,,,,,,
106,D00940,ATAC-seq,,,,,,,,,
107,D00939,ATAC-seq,,25.0,Production,,,,,,
108,D00938,ATAC-seq,,25.0,Production,,12,,,,
109,D00937,ATAC-seq,,25.0,Production,,,25.0,Production,,
110,D00936,ATAC-seq,,25.0,Production,,,25.0,Production,,
111,D00935,ATAC-seq,,,,,,,,,
112,D00934,ATAC-seq,,,,,,,,,
115,D00931,ATAC-seq,,25.0,Production,,,25.0,Production,,
116,D00930,ATAC-seq,,25.0,Production,,,25.0,Production,,
117,D00929,ATAC-seq,,25.0,Production,,,25.0,Production,,
